Category	Article		Visibility	Translations	Move to One.liferay	Learn Location	Content Type	Needs Design	Learn Implementation Comments	URL Path	Tickets
Customer Portal Help	Getting Started with your Liferay Project (Video Tutorials)	FALSE	Everyone	JP, ES, PT	no	Course (Onboarding)	Lesson	FALSE	migrate as markdown to Learn Repo as all LMS content are already there		
	Getting Started with Liferay Enterprise Search	TRUE	Everyone	JP, ES, PT	no	Course (Onboarding)	Lesson	FALSE	migrate as markdown to Learn Repo as all LMS content are already there		
	How are support seats determined?	TRUE	Everyone	JP, ES, PT	no	Knowledge Base	How To	FALSE	migrate as markdown to Learn Repo as all LMS content are already there		
	About Product Activation	TRUE	Everyone	JP, ES, PT	no	Knowledge Base; Course (Onboarding)	How To; Lesson	FALSE	migrate as markdown to Learn Repo as all LMS content are already there		
	How do I activate my Liferay DXP / Portal product? (Video Tutorial)	TRUE	Everyone	JP, ES, PT	no	Knowledge Base; Course (Onboarding)	How To; Lesson	FALSE	migrate as markdown to Learn Repo as all LMS content are already there		
	How do I activate my Liferay PaaS product? (Video Tutorial)	TRUE	Everyone	JP, ES, PT	no	Knowledge Base; Course (Onboarding)	How To; Lesson	FALSE	migrate as markdown to Learn Repo as all LMS content are already there		
	How do I activate my Analytics Cloud product? (Video Tutorial)	TRUE	Everyone	JP, ES, PT	no	Knowledge Base; Course (Onboarding)	How To; Lesson	FALSE	migrate as markdown to Learn Repo as all LMS content are already there		
	How do I activate my Liferay SaaS? (Video Tutorial)	TRUE	Everyone	JP, ES, PT	no	Knowledge Base; Course (Onboarding)	How To; Lesson	FALSE	migrate as markdown to Learn Repo as all LMS content are already there		
	How do I activate my Enterprise Search product? (Video Tutorial)	TRUE	Everyone	JP, ES, PT	no	Knowledge Base; Course (Onboarding)	How To; Lesson	FALSE	migrate as markdown to Learn Repo as all LMS content are already there		
	How do I activate my Commerce product? (Video Tutorial)	TRUE	Everyone	JP, ES, PT	no	Knowledge Base; Course (Onboarding)	How To; Lesson	FALSE	migrate as markdown to Learn Repo as all LMS content are already there		
	How do I manage my Activation Keys when upgrading or replacing servers?	TRUE	Everyone	JP, ES, PT	no	Knowledge Base; Course (Onboarding)	How To; Lesson	FALSE	migrate as markdown to Learn Repo as all LMS content are already there		
	How to Change Your Liferay Account Contact Information and Password	TRUE	Everyone	JP, ES, PT	no	Knowledge Base; Course (Onboarding)	How To; Lesson	FALSE	migrate as markdown to Learn Repo as all LMS content are already there		
											
Support Coverage	All articles in this Liferay Cloud Platform section	TRUE	Everyone		no	New Section	Release Note	TRUE	New Release Notes page that is like this; new content structure (Release Note); gate platform changelog, but ungate service changelog	New learn.liferay.com/w/updates/release-notes/cloud-infrastructure with sections or filters for platform changelog and service changelog	
	Article in this Cloud Native Support Coverage section	FALSE	Everyone		no			TRUE			
											
Services & Comptability 	Activation Keys FAQ for Liferay DXP and Liferay Commerce	TRUE	Customers	JP	no	Docs (see column N), Course (Onboarding)	Learn Article; Lesson	FALSE	Integrate with Activating Liferay DXP documentation and Activating Liferay Commerce Enterprise documentation; address activation as a topic within the new Onboarding course	https://learn.liferay.com/w/dxp/self-hosted-installation-and-upgrades/setting-up-liferay/activating-liferay-dxp; https://learn.liferay.com/w/dxp/commerce/installation-and-upgrades/activating-liferay-commerce-enterprise; and add course	
	Troubleshooting Activation Key Issues	TRUE	Customers		no	Knowledge Base	Troubleshooting	FALSE			
	Liferay DXP Source Code Access	TRUE	Customers	JP	no	Docs (Reference)	Learn Article	FALSE	Mostly keep in one.liferay, but add a note to docs that notes how to work with dxp code	learn.liferay.com/w/reference/contributing-to-liferay-development/building-liferay-source	
	All articles in this Compatibility Matrix section	FALSE	Everyone	JP, CN	no	Docs (Reference)	Learn Article	FALSE	Create a new section within the Reference page that has sub sections for each compatability topic.	New learn.liferay.com/w/reference/compatability	
	Liferay DXP Quarterly Release Process	TRUE	Customers	JP, PT, ES	no	Docs (NEW)	Learn Article	FALSE	Link to this article from the Release Notes page	New learn.liferay.com/w/updates/release-notes/release-process	
	Liferay DXP Fix Delivery Method	TRUE	Customers	JP	no	Docs (NEW)	Learn Article	FALSE	Link to this article from the Release Notes page Refactor material and convert into child page of the Release Notes landing page; ensure to note legacy difference. Avoid duplicating this (or maybe relocate some of that article's content?).	New learn.liferay.com/w/updates/release-notes/dxp-fix-delivery	
	Liferay Portal Fix Delivery Method	TRUE	Customers		no	Docs (NEW)	Learn Article	FALSE	Refactor material and convert into child page of the Release Notes landing page; ensure to note legacy difference. Avoid duplicating this (or maybe relocate some of that article's content?).	New learn.liferay.com/w/updates/release-notes/portal-fix-delivery	
	Liferay Patching Overview	TRUE	Customers	JP	no	Docs (Patching Liferay)	Learn Article	FALSE	We have most of this information covered. But we need to fix broken links and probably migrate over some of the instructions on installing security fix packs, etc.	learn.liferay.com/w/dxp/self-hosted-installation-and-upgrades/maintaining-a-liferay-installation/patching-liferay	LRDOCS-17011
	Anatomy of a Quarterly Release	FALSE	Everyone		no	Docs (Reference)	Learn Doc	FALSE			
	Before Opening a Security Ticket	TRUE	Customers	PT	no	Knowledge Base	Troubleshooting	FALSE	Heavy refactoring of content. Here's our recommended approach:  1) Add general trouble-shooting articles for each major topic. This could be built on the work already done by the NA lead customer support engineers (decision trees). Create a new category for this content to help surface it.  2) Include some pointers about opening tickets in the Onboarding course.  3) Have a general Before you open a ticket article on one.liferay that addresses common guidelines.		
	Before Opening a Liferay API Ticket	TRUE	Customers	PT	no	Knowledge Base	Troubleshooting				
	Before Opening a LAR/Staging Ticket	TRUE	Customers	PT	no	Knowledge Base	Troubleshooting				
	Before Opening a Search/Indexing ticket	TRUE	Customers	PT	no	Knowledge Base	Troubleshooting				
	Before Opening an Authentication Ticket	TRUE	Customers	PT	no	Knowledge Base	Troubleshooting				
	Before Opening an Accessibility Ticket	TRUE	Customers	PT	no	Knowledge Base	Troubleshooting				
	Before Opening an Upgrade Ticket	TRUE	Customers	PT	no	Knowledge Base	Troubleshooting				
	Before opening a ticket related to VPN on Liferay PaaS	TRUE	Customers	PT	no	Knowledge Base	Troubleshooting				
	Before Opening an Activation Key Ticket	TRUE	Customers	PT	no	Knowledge Base	Troubleshooting				
	Before Opening a Portal Deployment Ticket	TRUE	Customers	PT	no	Knowledge Base	Troubleshooting				
	Before Opening a Liferay Sync Ticket	TRUE	Customers	PT	no	Knowledge Base	Troubleshooting				
	Before Opening a Document Library Ticket	TRUE	Customers	PT	no	Knowledge Base	Troubleshooting				
	Before Opening a User Interface (UI) Ticket	TRUE	Customers	PT	no	Knowledge Base	Troubleshooting				
	Before Opening a Shutdown/Inoperable System Ticket	TRUE	Customers	PT	no	Knowledge Base	Troubleshooting				
	Before Opening a Clustering Ticket	TRUE	Customers	PT	no	Knowledge Base	Troubleshooting				
